代号（必填）,性别（必填）,你是个急躁的人吗？（必填）,你单身吗？（必填）,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
neko,女,4,否,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
bruteforce,男,3,是,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
我智商不如狗,男,3,是,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
啊这,男,7,是,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
TJY,男,10,是,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
NAN,男,0,是,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134340,女,9,是,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1
父亲,男,7,是,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
7,男,6,是,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
?,男,3,是,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1
匿名,女,7,否,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
JC,男,7,是,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
随便,女,3,否,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
promise,男,7,是,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shall,男,0,是,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RISC-V,男,7,是,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
窝窝屎,男,4,是,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
布布,女,3,否,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kurt,女,3,否,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Dam,女,5,否,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
2234,男,5,是,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
徐公好帅,男,4,是,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1
yoyo,女,5,是,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1
复合式,女,6,是,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
大宝剑,男,8,是,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
0,男,1,是,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
Lyar,男,7,是,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1
16,男,5,否,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
xyz,女,5,是,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
